Woonplaats,Gemeente,Provincie,Latitude,Longitude
's-Graveland,Wijdemeren,Noord-Holland,52.24412000,5.12150000
's-Gravendeel,Binnenmaas,Zuid-Holland,51.77953000,4.61655000
's-Gravenmoer,Dongen,Noord-Brabant,51.66666670,4.80000000
's-Gravenpolder,Borsele,Zeeland,51.46000000,3.90560000
's-Gravenzande,Westland,Zuid-Holland,52.00352000,4.16072000
's-Heer-Abtskerke,Borsele,Zeeland,51.46666670,3.88333330
's-Heer-Arendskerke,Goes,Zeeland,51.50000000,3.81666670
's-Heer-Hendrikskinderen,Goes,Zeeland,51.50000000,3.86666670
's-Heerenberg,Montferland,Gelderland,51.87567000,6.24458000
's-Heerenbroek,Kampen,Overijssel,52.53333330,6.01666670
's-Heerenhoek,Borsele,Zeeland,51.45000000,3.76666670
's-Hertogenbosch,'s-Hertogenbosch,Noord-Brabant,51.68922000,5.30421000
't Goy,Houten,Utrecht,52.00000000,5.23333330
't Haantje,Coevorden,Drenthe,52.81502000,6.82931000
't Harde,Elburg,Gelderland,52.41666670,5.88333330
't Loo Oldebroek,Oldebroek,Gelderland,52.45000000,5.96666670
't Veld,Niedorp,Noord-Holland,52.73917000,4.85556000
't Waar,Oldambt,Groningen,53.22527778,6.95194444
't Zand,Zijpe,Noord-Holland,52.83688000,4.75456000
't Zandt,Loppersum,Groningen,53.36583333,6.77444444
Aadorp,Almelo,Overijssel,52.36666700,6.63333300
Aagtekerke,Veere,Zeeland,51.55000000,3.51666700
Aalden,Coevorden,Drenthe,52.78333300,6.73333300
Aalsmeer,Aalsmeer,Noord-Holland,52.26666700,4.76666700
Aalsmeerderbrug,Haarlemmermeer,Noord-Holland,52.26666700,4.75000000
Aalst,Zaltbommel,Gelderland,51.78194444,5.12722222
Aalsum,Dongeradeel,Friesland,53.33920000,6.00330000
Aalten,Aalten,Gelderland,51.93333300,6.58333300
Aardenburg,Sluis,Zeeland,51.28333300,3.45000000
Aarlanderveen,Alphen aan den Rijn,Zuid-Holland,52.13333300,4.73333300
Aarle-Rixtel,Laarbeek,Noord-Brabant,51.51666670,5.63333330
Aartswoud,Opmeer,Noord-Holland,52.75000000,4.95000000
Abbega,Wymbritseradiel,Friesland,53.01666700,5.56666700
Abbekerk,Medemblik,Noord-Holland,52.73333300,5.01666700
Abbenbroek,Bernisse,Zuid-Holland,51.85000000,4.25000000
Abbenes,Haarlemmermeer,Noord-Holland,52.23333300,4.60000000
Abcoude,Abcoude,Utrecht,52.26666700,4.96666700
Achlum,Franekeradeel,Friesland,53.15000000,5.48333300
Achterveld,Barneveld,Gelderland,52.13333330,5.50000000
Achterveld,Leusden,Utrecht,52.13611111,5.49694444
Achthuizen,Oostflakkee,Zuid-Holland,51.68333300,4.28333300
Achtmaal,Zundert,Noord-Brabant,51.45000000,4.58333300
Acquoy,Geldermalsen,Gelderland,51.88333300,5.13333300
Adorp,Winsum,Groningen,53.26666700,6.53333300
Aduard,Zuidhorn,Groningen,53.25000000,6.46666700
Aerdenhout,Bloemendaal,Noord-Holland,52.36666700,4.60000000
Aerdt,Rijnwaarden,Gelderland,51.90000000,6.08333300
Afferden,Bergen,Flevoland,51.88333300,5.63333300
Afferden,Druten,Gelderland,51.88333300,5.63333300
Agelo,Dinkelland,Overijssel,52.40000000,6.88333300
Akersloot,Castricum,Noord-Holland,52.56666700,4.73333300
Akkrum,Boarnsterhim,Friesland,53.05000000,5.83333300
Akmarijp,Skarsterlân,Friesland,53.00000000,5.78333300
Albergen,Tubbergen,Overijssel,52.36666700,6.76666700
Alblasserdam,Alblasserdam,Zuid-Holland,51.86666700,4.66666700
Albrandswaard,Albrandswaard,Zuid-Holland,51.83333300,4.41666700
Alde Leie,Leeuwarderadeel,Friesland,53.30000000,5.73333300
Aldeboarn,Boarnsterhim,Friesland,53.05000000,5.90000000
Aldtsjerk,Tytsjerksteradiel,Friesland,53.26666670,5.88333330
Alem,Maasdriel,Gelderland,51.78333300,5.35000000
Alkmaar,Alkmaar,Noord-Holland,52.63333300,4.75000000
Allingawier,Wûnseradiel,Friesland,53.05000000,5.45000000
Almelo,Almelo,Overijssel,52.35000000,6.66666700
